Simulation Time, PET[mm/day]
07/08/2007: 12:00 AM,2.44534575744316
07/09/2007: 12:00 AM,2.54400801104053
07/10/2007: 12:00 AM,2.28936243876775
07/11/2007: 12:00 AM,2.03042659544319
07/12/2007: 12:00 AM,2.41611233383249
07/13/2007: 12:00 AM,1.48627072856328
07/14/2007: 12:00 AM,2.10776379801956
07/15/2007: 12:00 AM,2.16712794527439
07/16/2007: 12:00 AM,2.41868976376673
07/17/2007: 12:00 AM,1.99756624168861
07/18/2007: 12:00 AM,2.32526777247691
07/19/2007: 12:00 AM,2.56373469004818
07/20/2007: 12:00 AM,2.08158586392428
07/21/2007: 12:00 AM,2.15859420624148
07/22/2007: 12:00 AM,1.92137892208861
07/23/2007: 12:00 AM,1.95140951049117
07/24/2007: 12:00 AM,1.74784513696292
07/25/2007: 12:00 AM,2.1685289518497
07/26/2007: 12:00 AM,2.28749263614301
07/27/2007: 12:00 AM,2.31237570184409
07/28/2007: 12:00 AM,1.85530362111219
07/29/2007: 12:00 AM,2.00417162027372
07/30/2007: 12:00 AM,2.14367088999023
07/31/2007: 12:00 AM,2.28506090996909
08/01/2007: 12:00 AM,2.31624422905501
08/02/2007: 12:00 AM,2.20389258765631
08/03/2007: 12:00 AM,2.33394941079805
08/04/2007: 12:00 AM,2.50442993590482
08/05/2007: 12:00 AM,2.18982549871369
08/06/2007: 12:00 AM,2.37655985701698
08/07/2007: 12:00 AM,2.45449611224654
08/08/2007: 12:00 AM,2.52725443363807
08/09/2007: 12:00 AM,2.50522993922533
08/10/2007: 12:00 AM,2.5627588144771
08/11/2007: 12:00 AM,2.51510214041658
08/12/2007: 12:00 AM,2.05829543670589
08/13/2007: 12:00 AM,2.41588264015864
08/14/2007: 12:00 AM,2.49568416802678
08/15/2007: 12:00 AM,2.65374022017445
08/16/2007: 12:00 AM,2.6707918307592
08/17/2007: 12:00 AM,2.18649392269069
08/18/2007: 12:00 AM,2.51756106983777
08/19/2007: 12:00 AM,2.40214896962922
08/20/2007: 12:00 AM,2.36434089462975
08/21/2007: 12:00 AM,2.50966751420444
08/22/2007: 12:00 AM,2.56131599001281
08/23/2007: 12:00 AM,2.45968322299671
08/24/2007: 12:00 AM,2.17448181921268
08/25/2007: 12:00 AM,2.20483698816038
08/26/2007: 12:00 AM,1.8600281168146
08/27/2007: 12:00 AM,2.15394621021089
08/28/2007: 12:00 AM,2.10966439514726
